Year,All recipients,Female,Male,Percentage of Female Engineering Graduates
1995,63371,10950,52421,17.28
1996,63077,11314,51763,17.94
1997,62356,11471,50885,18.4
1998,60925,11341,49584,18.61
1999,60207,11774,48433,19.56
2000,59487,12206,47281,20.52
2001,59214,11912,47302,20.12
2002,60605,12682,47923,20.93
2003,63789,12980,50809,20.35
2004,64680,13263,51417,20.51
2005,66152,13203,52949,19.96
2006,68227,13338,54889,19.55
2007,68274,12653,55621,18.53
2008,69908,12921,56987,18.48
2009,70600,12750,57850,18.06
2010,74399,13693,60706,18.4
2011,78099,14658,63441,18.77
2012,83263,15981,67282,19.19
2013,87812,16934,70878,19.28
2014,93950,18626,75324,19.83
